GameOnTabletop Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Project Status,Currency,Funding Level,Exchange Rate,FundingLevelUSD,OSR Original,OSR Scene
https://www.gameontabletop.com/cf2881/die-schwarze-katze-ewige-suche.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919036#11919036,non-5E,https://rpggeek.com/rpg/54460/die-schwarze-katze,,Die Schwarze Katze - Ewige Suche,May 8 2024,"€62,777.00",Project Ended,EUR,"62,777.00",1.0746,"$67,462.05",,
https://www.gameontabletop.com/cf3461/le-serpentaire-le-roman-dont-vous-etes-le-heros-illustre.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919040#11919040,RPG,,https://rpggeek.com/rpgsystem/22884/systemless-gamebooks,Le Serpentaire - Le roman dont vous êtes le héros illustré,April 22 2024,"€8,716.00",Project Ended,EUR,"8,716.00",1.0654,"$9,285.68",,
https://www.gameontabletop.com/cf3191/elestria-la-marche-des-morts.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919044#11919044,RPG,,,Élestria : La Marche des Morts,May 5 2024,"€5,619.00",Project Ended,EUR,"5,619.00",1.0758,"$6,044.64",,
https://www.gameontabletop.com/cf3031/broken-tales.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919049#11919049,non-5E,https://rpggeek.com/rpg/70540/broken-tales,,Broken Tales,May 18 2024,"€45,246.00",Project Ended,EUR,"45,246.00",1.0889,"$49,268.37",,
https://www.gameontabletop.com/cf3301/dedales-mazes-vf.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919052#11919052,non-5E,https://rpggeek.com/rpg/63111/mazes,,Dédales (Mazes VF),April 11 2024,"€12,915.00",Project Ended,EUR,"12,915.00",1.0726,"$13,853.15",,
https://www.gameontabletop.com/cf2841/laelith-provinces-du-haut-lac-gardiens-silencieux-5e-cof-rnp.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920147#11920147,5E,https://rpggeek.com/rpg/26949/chroniques-oubliees-fantasy,,"Laelith : Provinces du Haut Lac & Gardiens silencieux (5E, COF, RnP)",April 2 2024,"€132,996.00",Project Ended,EUR,"132,996.00",1.0768,"$143,207.43",,
https://www.gameontabletop.com/cf2901/fabula-ultima.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920160#11920160,non-5E,https://rpggeek.com/rpg/72028/fabula-ultima,,Fabula Ultima,April 10 2024,"€28,025.00",Project Ended,EUR,"28,025.00",1.0741,"$30,101.65",,
https://www.gameontabletop.com/cf2891/das-schwarze-auge-mosaik-der-marchen.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920179#11920179,non-5E,https://rpggeek.com/rpg/25131/das-schwarze-auge-dsa-5th-edition,,Das Schwarze Auge - Mosaik der Märchen,March 20 2024,"€83,766.00",Project Ended,EUR,"83,766.00",1.0937,"$91,611.52",,
https://www.gameontabletop.com/cf3011/dragonbane.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920183#11920183,non-5E,https://rpggeek.com/rpg/79109/dragonbane,,Dragonbane,March 21 2024,"€64,911.00",Project Ended,EUR,"64,911.00",1.0860,"$70,493.35",,
https://www.gameontabletop.com/cf2951/adventure-islands-artenkodex.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920194#11920194,non-5E,not in database,,Adventure Islands - Artenkodex,April 28 2024,"€7,418.00",Project Ended,EUR,"7,418.00",1.0706,"$7,941.93",,
https://www.gameontabletop.com/cf2821/l-ombre-du-seigneur-demon-supplements-occultes.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920200#11920200,non-5E,https://rpggeek.com/rpg/27061/shadow-of-the-demon-lord,,L'Ombre du Seigneur Démon : suppléments occultes,March 4 2024,"€66,306.00",Project Ended,EUR,"66,306.00",1.0854,"$71,968.53",,
https://www.gameontabletop.com/cf2971/sous-le-regne-de-cthulhu.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920208#11920208,RPG,,,Sous le règne de Cthulhu,March 19 2024,"€12,285.00",Project Ended,EUR,"12,285.00",1.0863,"$13,344.83",,
https://www.gameontabletop.com/cf1031/die-wretched-solo-survival-rollenspiel.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920214#11920214,non-5E,https://rpggeek.com/rpg/62289/the-wretched,,Die Wretched – Solo-Survival-Rollenspiel,March 3 2024,"€1,515.00",Project Ended,EUR,"1,515.00",1.0842,"$1,642.53",,
https://www.gameontabletop.com/cf2991/the-walking-dead-universe.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920220#11920220,non-5E,https://rpggeek.com/rpg/80230/the-walking-dead-universe,,The Walking Dead Universe,February 27 2024,"€46,069.00",Project Ended,EUR,"46,069.00",1.0842,"$49,946.17",,
https://www.gameontabletop.com/cf2601/pathfinder-remaster-supplements.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920223#11920223,non-5E,https://rpggeek.com/rpg/56388/pathfinder-roleplaying-game-2nd-edition,,Pathfinder remaster + suppléments,February 5 2024,"€179,645.00",Project Ended,EUR,"179,645.00",1.0739,"$192,920.77",,
https://www.gameontabletop.com/cf2761/cthulhu-hack-reedition.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920225#11920225,non-5E,https://rpggeek.com/rpg/37225/the-cthulhu-hack,,Cthulhu Hack réédition,February 13 2024,"€83,217.00",Project Ended,EUR,"83,217.00",1.0708,"$89,112.09",,
https://www.gameontabletop.com/cf2411/torg-eternity-cyberpapaute.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920229#11920229,non-5E,https://rpggeek.com/rpg/42049/torg-eternity,,Torg Eternity - Cyberpapauté,January 15 2024,"€64,411.00",Project Ended,EUR,"64,411.00",1.0945,"$70,496.55",,
https://www.gameontabletop.com/cf2801/assassin-s-creed-le-jeu-de-role-officiel.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920237#11920237,non-5E,https://rpggeek.com/rpg/99137/assassins-creed-roleplaying-game,,Assassin's Creed : le jeu de rôle officiel,June 20 2024,"€107,490.00",Project Ended,EUR,"107,490.00",1.0706,"$115,076.64",,
https://www.gameontabletop.com/cf2401/cats-la-quete-des-felins-du-temps.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920241#11920241,non-5E,https://rpggeek.com/rpg/108735/cats-la-mascarade,,Cats! La quête des félins du temps,December 4 2023,"€66,477.00",Project Ended,EUR,"66,477.00",1.0837,"$72,040.46",,
https://www.gameontabletop.com/cf2451/magna.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11920252#11920252,RPG,,,Magna,June 11 2024,"€27,615.00",Project Ended,EUR,"27,615.00",1.0740,"$29,657.96",,
