Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,OSR Core,OSR Adjacent,,,,,,
https://www.kickstarter.com/projects/mrmatthew/mall-kids-rpg-about-teens-and-malls?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6736674#item6736674,5,https://www.kicktraq.com/projects/mrmatthew/mall-kids-rpg-about-teens-and-malls/,RPG,,https://rpggeek.com/rpg/41230/honey-heist,Mall Kids - RPG about teens and malls,22-Feb-19,Y,USD,"2,006.00",1,"2,006.00",Y,N,Y,"$2,006 ",1002.00%,Ended,2006,1.60874E+12,February 8 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/gallantknightgames/zorrotm-the-roleplaying-game?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6678724#item6678724,2,https://www.kicktraq.com/projects/gallantknightgames/zorrotm-the-roleplaying-game/,RPG,,https://rpggeek.com/rpgsystem/8528/d6-system-opend6,Zorro™: The Roleplaying Game,22-Feb-19,Y,USD,"32,125.00",1,"32,125.00",Y,N,Y,"$32,125 ",214.00%,Ended,32125,1.60874E+12,January 23 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/gtgames/sentinel-comics-the-roleplaying-game?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6690986#item6690986,3,https://www.kicktraq.com/projects/gtgames/sentinel-comics-the-roleplaying-game/,RPG,,,Sentinel Comics: The Roleplaying Game,22-Feb-19,Y,USD,"354,308.00",1,"354,308.00",Y,N,Y,"$354,308 ",708.00%,Ended,354308,1.60874E+12,January 29 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/eggembry/powered-by-the-dreamr-a-pbta-rpg-zinequest?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6699106#item6699106,4,https://www.kicktraq.com/projects/eggembry/powered-by-the-dreamr-a-pbta-rpg-zinequest/,RPG,,https://rpggeek.com/rpgsystem/17185/powered-apocalypse,"POWERED by the DREAMR, a PbtA RPG #ZineQuest",23-Feb-19,Y,USD,"1,901.00",1,"1,901.00",Y,N,Y,"$1,901 ",190.00%,Ended,1901,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/645319106/from-the-shroud-issue-2?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6736690#item6736690,5,https://www.kicktraq.com/projects/645319106/from-the-shroud-issue-2/,non-5E,https://rpggeek.com/rpg/14181/crypts-things,,From the Shroud issue 2,25-Feb-19,Y,GBP,"2,100.00",1.31259,"2,756.44",Y,N,Y,"£2,100",840.00%,Ended,2756.44,1.60874E+12,February 11 2019,,,,,1,,,,,,
https://www.kickstarter.com/projects/riotminds/lexoccultum-carta-monstrorum?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6688050#item6688050,3,https://www.kicktraq.com/projects/1256540796/lexoccultum-carta-monstrorum/,non-5E,https://rpggeek.com/rpg/6309/lexoccultum,,LexOccultum - Carta Monstrorum,25-Feb-19,Y,SEK,"477,407.00",0.10742,"51,283.06",Y,N,Y,"kr477,407 SEK",318.00%,Ended,51283.06,1.60874E+12,January 26 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/2029996743/epic-stuff-library-treasure-chest-2?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6736745#item6736745,6,https://www.kicktraq.com/projects/2029996743/epic-stuff-library-treasure-chest-2/,5E,,,Epic Stuff Library Treasure Chest 2,26-Feb-19,Y,USD,808,1,808,Y,N,Y,$808 ,1010.00%,Ended,808,1.60874E+12,February 11 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/deepdungeongames/diception-carnival-conquest?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6736716#item6736716,6,https://www.kicktraq.com/projects/deepdungeongames/diception-carnival-conquest/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Diception: Carnival Conquest,26-Feb-19,Y,USD,"4,823.00",1,"4,823.00",Y,N,Y,"$4,823 ",964.00%,Ended,4823,1.60874E+12,February 11 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/226674021/two-apocalypse-world-zines?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6712956#item6712956,4,https://www.kicktraq.com/projects/226674021/two-apocalypse-world-zines/,non-5E,https://rpggeek.com/rpg/5891/apocalypse-world,,Two Apocalypse World Zines,26-Feb-19,Y,USD,"10,729.00",1,"10,729.00",Y,N,Y,"$10,729 ",1072.00%,Ended,10729,1.60874E+12,February 5 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/jstreissand/the-mechanazium-part-1-a-megadungeon-adventure-for?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6674410#item6674410,2,https://www.kicktraq.com/projects/jstreissand/the-mechanazium-part-1-a-megadungeon-adventure-for/,5E,,,The Mechanazium Part 1: A Megadungeon Adventure for 5E,28-Feb-19,Y,USD,"1,623.00",,Not Funded,N,Y,N,"$1,623 ",16.00%,Cancelled,0,1.60874E+12,January 18 2019,,,,,,,,,,,
